,From,To,Counts,Log2FC,Pvalue,Percentage
530,HF-Matrix,Bas-prolif,94,0.39607846976983574,0.005503965374352382,0.02493368700265252
531,HF-Matrix,CD4_T,26,1.0573282431545914,0.0005211561502105333,0.006896551724137931
532,HF-Matrix,CD8_T,30,1.6972892799723402,4.211712179014171e-08,0.007957559681697613
533,HF-Matrix,DS,15,1.2311129317016956,0.002438686322124073,0.003978779840848806
534,HF-Matrix,EC,248,0.16646550807300264,0.034325609521062894,0.06578249336870026
535,HF-Matrix,FB_APOD,9,0.20268452337517787,0.38231155996708144,0.0023872679045092837
536,HF-Matrix,Gra-I,53,0.4998464788555421,0.0092274475320141,0.014058355437665782
537,HF-Matrix,HF-CL,2,0.3903115265509494,0.45126736271042345,0.0005305039787798408
538,HF-Matrix,HF-HS,46,3.2134337644668705,0.0,0.01220159151193634
539,HF-Matrix,HF-IRS,45,2.7947017816302844,0.0,0.011936339522546418
540,HF-Matrix,HF-Matrix,106,2.4671802899352198,0.0,0.028116710875331564
541,HF-Matrix,HF-ORSB,42,0.18643919318529928,0.21979084816887484,0.011140583554376658
542,HF-Matrix,HF-TAC,30,2.9752740272721057,0.0,0.007957559681697613
543,HF-Matrix,MELAN,4,0.14238401310736373,0.4902691883368069,0.0010610079575596816
544,HF-Matrix,Mast,34,0.6704194457436847,0.006751647414507067,0.009018567639257295
545,HF-Matrix,Mural,293,-0.5445366301793079,0.9999999999998641,0.07771883289124669
546,HF-Matrix,SCH,0,-inf,1.0,0.0
547,HF-Matrix,Spi-I,123,-0.40611064978594996,0.999638552677261,0.03262599469496021
548,HF-Matrix,Spi-mig,10,-2.6186772566763055,1.0,0.002652519893899204
549,HF-Matrix,Sweat Gland,14,0.16424344707110322,0.3712376815455617,0.003713527851458886
550,HF-Matrix,actiFB,252,-0.4145877437803426,0.9999997584471688,0.06684350132625995
551,HF-Matrix,cDC,4,-1.0359532281511485,0.9635017122051254,0.0010610079575596816
552,HF-Matrix,cMono,18,0.4412954552697542,0.12326931395895324,0.004774535809018567
553,HF-Matrix,inflamFB,471,0.3222578382119049,3.8533959478836977e-07,0.12493368700265252
554,HF-Matrix,lipidMacr,4,-2.4298674358642387,0.9999992298428386,0.0010610079575596816
555,HF-Matrix,myoFB,0,-inf,1.0,0.0
556,HF-Matrix,pDC,14,0.9882130829796038,0.013353810423123447,0.003713527851458886
557,HF-Matrix,papiFB,321,0.6466200691964298,5.329070518200751e-15,0.08514588859416446
558,HF-Matrix,retiFB,1130,-0.25374892416718453,0.9999999999999724,0.29973474801061006
559,HF-Matrix,trMacr,223,0.04209943576436629,0.33603023228775375,0.059151193633952256
560,HF-ORSB,AntiInfMacr,7,-3.1135368014526916,1.0,0.000850546780072904
561,HF-ORSB,Bas-I,274,3.762102860171387,0.0,0.03329283110571082
562,HF-ORSB,Bas-II,300,2.3379842008417646,0.0,0.03645200486026731
563,HF-ORSB,Bas-inflamed,196,2.5932912446509477,0.0,0.02381530984204131
564,HF-ORSB,Bas-mig,124,2.038270839769929,0.0,0.015066828675577158
565,HF-ORSB,Bas-prolif,807,2.3715865742170172,0.0,0.09805589307411908
566,HF-ORSB,CD4_T,15,-0.8625487865309438,0.9961929056948736,0.0018226002430133657
567,HF-ORSB,CD8_T,24,0.24903327793201657,0.22448903904336304,0.0029161603888213854
568,HF-ORSB,DS,2,-2.8021055710597844,0.9999878501386138,0.00024301336573511544
569,HF-ORSB,EC,214,-1.172591723065687,1.0,0.026002430133657353
570,HF-ORSB,FB_APOD,3,-2.508605884498939,0.9999942009685889,0.00036452004860267317
571,HF-ORSB,Gra-I,38,-1.1064743694170331,0.9999999824207525,0.004617253948967193
572,HF-ORSB,HF-CL,6,0.8489461201191444,0.11978782177728697,0.0007290400972053463
573,HF-ORSB,HF-HS,9,-0.2665310973007917,0.7537652428613852,0.0010935601458080195
574,HF-ORSB,HF-IRS,79,2.4803015263247516,0.0,0.00959902794653706
575,HF-ORSB,HF-Matrix,48,0.1978944289402158,0.187591984569615,0.005832320777642771
